,,,actor_behavior,actor_behavior,duration_hours
request complete,send letter in progress,all,1735,1.0,0.15064473262888248
request complete,send letter in progress,continuation,1733,0.9988472622478386,0.00036657690581522087
applicant is stakeholder,terminate on request,all,1729,1.0,7.000166923719556
applicant is stakeholder,terminate on request,continuation,1725,0.9976865240023135,0.0032444444444444443
create subcases completeness,procedure change,all,1696,1.0,3.503462395178197
create subcases completeness,procedure change,continuation,1681,0.9911556603773585,0.21331796549672816
subcases completeness completed,procedure change,all,1664,1.0,6.183812266292735
subcases completeness completed,procedure change,continuation,1647,0.9897836538461539,0.00904793226742225
assessment of content completed,phase advice known,all,1552,1.0,0.00010703035509736542
assessment of content completed,phase advice known,continuation,1552,1.0,0.00010703035509736542
by law,decision date prior to decision,all,1543,1.0,5.760783466551451e-06
by law,decision date prior to decision,continuation,1538,0.9967595593000648,5.779511631267158e-06
creating environmental permit decision,generating decision environmental permit,all,1490,1.0,35.29108146905294
creating environmental permit decision,generating decision environmental permit,continuation,1142,0.7664429530201342,1.6116423428682622
transcript decision environmental permit to stakeholders,enter senddate decision environmental permit,all,1378,1.0,8.85276407031124
transcript decision environmental permit to stakeholders,enter senddate decision environmental permit,continuation,1094,0.7939042089985486,1.6102409607962624
completed subcases content,procedure change,all,1371,1.0,1.7288254720803955
completed subcases content,procedure change,continuation,1360,0.9919766593727206,0.007005310457516341
procedure change after completeness,send letter in progress,all,1343,1.0,0.00023951352692975925
procedure change after completeness,send letter in progress,continuation,1343,1.0,0.00023951352692975925
regular procedure without MER,send procedure confirmation,all,1291,1.0,41.41129851966606
regular procedure without MER,send procedure confirmation,continuation,1134,0.8783888458559257,0.08026357044875562
phase advice known,assessment of content completed,all,1264,1.0,0.0
phase advice known,assessment of content completed,continuation,1264,1.0,0.0
request complete,term for supplying missing data,all,1248,1.0,6.953772257834758
request complete,term for supplying missing data,continuation,1233,0.9879807692307693,0.026099396233216186
article 34  WABO applies,assessment of content completed,all,1213,1.0,1.643362416414766
article 34  WABO applies,assessment of content completed,continuation,1201,0.9901071723000825,0.029705106855398275
article 34  WABO applies,assessment of content completed,handover_idle,1,0.0008244023083264633,1.1658333333333333
transcript decision environmental permit to stakeholders,generate publication document decision environmental permit,all,1191,1.0,3.8417429331094315
transcript decision environmental permit to stakeholders,generate publication document decision environmental permit,continuation,1154,0.9689336691855583,0.09333983246678221
generate publication document decision environmental permit,enter date publication decision environmental permit,all,1165,1.0,221.23214449213162
generate publication document decision environmental permit,enter date publication decision environmental permit,continuation,66,0.05665236051502146,14.698404882154883
phase advice known,grounds for refusal,all,1111,1.0,16.73132763276328
phase advice known,grounds for refusal,continuation,1086,0.9774977497749775,0.002901319828115408
phase decision taken,transcript decision environmental permit to stakeholders,all,1083,1.0,4.16315199548579
phase decision taken,transcript decision environmental permit to stakeholders,continuation,1051,0.9704524469067405,0.08543952849138386
decision date prior to decision,submit decision,all,1075,1.0,7.199675452196383
decision date prior to decision,submit decision,continuation,1021,0.9497674418604651,0.01337904015670911
phase application received,reception through OLO,all,1060,1.0,0.16627594339622642
phase application received,reception through OLO,continuation,1058,0.9981132075471698,0.009205261499684939
register objection and appeal periods,creating cover letter decision,all,1055,1.0,0.01869747235387046
register objection and appeal periods,creating cover letter decision,continuation,1042,0.9876777251184834,0.003389315419065899
send procedure confirmation,enter senddate procedure confirmation,all,1052,1.0,13.776624683143218
send procedure confirmation,enter senddate procedure confirmation,continuation,888,0.844106463878327,1.0028253253253254
phase application receptive,send letter in progress,all,1042,1.0,3.021184954148006
phase application receptive,send letter in progress,continuation,1035,0.9932821497120922,0.008911433172302736
submit decision,register objection and appeal periods,all,963,1.0,0.46281008422752967
submit decision,register objection and appeal periods,continuation,913,0.9480789200415368,3.0424729219909943e-06
send letter in progress,procedure change,all,939,1.0,0.0
send letter in progress,procedure change,continuation,939,1.0,0.0
assessment of content completed,grounds for refusal,all,935,1.0,27.17591146761735
assessment of content completed,grounds for refusal,continuation,918,0.9818181818181818,0.2877780803679496
send letter in progress,treat subcases content,all,920,1.0,2.087125603864734
send letter in progress,treat subcases content,continuation,913,0.9923913043478261,0.2933610198369234
enter senddate acknowledgement,forward to the competent authority,all,915,1.0,150.46110261080753
enter senddate acknowledgement,forward to the competent authority,continuation,513,0.5606557377049181,0.4561966645007581
article 34  WABO applies,phase advice known,all,864,1.0,0.0017470421810699588
article 34  WABO applies,phase advice known,continuation,864,1.0,0.0017470421810699588
regular procedure without MER,start WABOprocedure,all,860,1.0,7.041343669250646e-05
regular procedure without MER,start WABOprocedure,continuation,860,1.0,7.041343669250646e-05
create procedure confirmation,create subcases completeness,all,858,1.0,26.394605672105673
create procedure confirmation,create subcases completeness,continuation,791,0.921911421911422,0.008055204382638011
forward to the competent authority,inform BAG administrator,all,853,1.0,2.4596710954800054
forward to the competent authority,inform BAG administrator,continuation,846,0.9917936694021102,0.022128644602048858
phase application receptive,treat subcases content,all,845,1.0,5.267184418145956
phase application receptive,treat subcases content,continuation,830,0.9822485207100592,0.2732423025435074
register submission date request,enter senddate acknowledgement,all,830,1.0,98.7881579651941
register submission date request,enter senddate acknowledgement,continuation,105,0.12650602409638553,39.07674867724868
create procedure confirmation,publish,all,828,1.0,5.748601717659689
create procedure confirmation,publish,continuation,824,0.9951690821256038,0.00037722491909385116
WAW permit aspect,treat subcases content,all,823,1.0,5.4232928311057105
WAW permit aspect,treat subcases content,continuation,808,0.9817739975698664,0.12664844609460946
reception through OLO,send confirmation receipt,all,810,1.0,31.096165980795607
reception through OLO,send confirmation receipt,continuation,796,0.9827160493827161,0.07194514237855947
send confirmation receipt,phase application received,all,809,1.0,0.0
send confirmation receipt,phase application received,continuation,809,1.0,0.0
send confirmation receipt,send confirmation receipt,all,803,1.0,14.530420298879204
send confirmation receipt,send confirmation receipt,continuation,776,0.9663760896637609,0.07087736254295532
enter senddate decision environmental permit,transcript decision environmental permit to stakeholders,all,787,1.0,1.7600218833827472
enter senddate decision environmental permit,transcript decision environmental permit to stakeholders,continuation,715,0.9085133418043202,0.4461790986790987
request complete,procedure change after completeness,all,786,1.0,2.8979361040429746e-05
request complete,procedure change after completeness,continuation,786,1.0,2.8979361040429746e-05
register objection and appeal periods,calculate final charges,all,776,1.0,7.15922107674685e-07
register objection and appeal periods,calculate final charges,continuation,776,1.0,7.15922107674685e-07
enter senddate procedure confirmation,send procedure confirmation,all,773,1.0,8.281383139284173
enter senddate procedure confirmation,send procedure confirmation,continuation,683,0.8835705045278137,1.0247567919310232
generating decision environmental permit,register date environmental permit decision,all,774,1.0,57.46082974447315
generating decision environmental permit,register date environmental permit decision,continuation,361,0.4664082687338501,0.5994867651585103
enter senddate acknowledgement,send confirmation receipt,all,766,1.0,8.513747098926602
enter senddate acknowledgement,send confirmation receipt,continuation,714,0.9321148825065274,0.10523342670401495
calculate provisional charges,forward to the competent authority,all,723,1.0,2.2956066543722145
calculate provisional charges,forward to the competent authority,continuation,718,0.9930843706777317,0.0016117301145156296
send letter in progress,phase application receptive,all,723,1.0,0.0
send letter in progress,phase application receptive,continuation,723,1.0,0.0
enter date publication decision environmental permit,objection lodged against decision,all,720,1.0,1525.1296766975308
enter date publication decision environmental permit,objection lodged against decision,continuation,3,0.004166666666666667,0.014907407407407406
inform BAG administrator,regular procedure without MER,all,708,1.0,5.944071327683616
inform BAG administrator,regular procedure without MER,continuation,688,0.9717514124293786,0.042019541343669246
calculate final charges,creating cover letter decision,all,687,1.0,2.7899078117418728e-05
calculate final charges,creating cover letter decision,continuation,687,1.0,2.7899078117418728e-05
generating decision environmental permit,phase decision taken,all,682,1.0,8.254239165852068
generating decision environmental permit,phase decision taken,continuation,536,0.7859237536656891,0.045955638474295187
enter senddate decision environmental permit,phase decision sent,all,677,1.0,0.278037091744625
enter senddate decision environmental permit,phase decision sent,continuation,669,0.9881831610044313,0.0042086032220561365
register submission date request,phase application received,all,675,1.0,84.88775679012346
register submission date request,phase application received,continuation,196,0.2903703703703704,9.910731292517006
enter senddate decision,enter senddate decision environmental permit,all,664,1.0,10.146063420348058
enter senddate decision,enter senddate decision environmental permit,continuation,601,0.9051204819277109,0.2971852468108708
record date of decision environmental permit,enter senddate decision environmental permit,all,664,1.0,6.714941014056224
record date of decision environmental permit,enter senddate decision environmental permit,continuation,554,0.8343373493975904,0.9148796630565584
objection lodged against decision,set phase: phase permitting irrevocable,all,640,1.0,26.625958767361112
objection lodged against decision,set phase: phase permitting irrevocable,continuation,626,0.978125,0.0007476925807596734
send letter in progress,create subcases content,all,621,1.0,0.03864734299516908
send letter in progress,create subcases content,continuation,619,0.9967793880837359,0.03877221324717286
phase application received,enter senddate acknowledgement,all,620,1.0,10.281326164874553
phase application received,enter senddate acknowledgement,continuation,206,0.33225806451612905,4.334452535059332
enter senddate acknowledgement,phase application received,all,619,1.0,38.28442918686052
enter senddate acknowledgement,phase application received,continuation,120,0.1938610662358643,11.770590277777778
enter senddate decision environmental permit,enter senddate decision,all,613,1.0,0.4365221134674642
enter senddate decision environmental permit,enter senddate decision,continuation,594,0.9690048939641109,0.11137111859334083
applicant is stakeholder,phase application received,all,610,1.0,0.0
applicant is stakeholder,phase application received,continuation,610,1.0,0.0
create subcases content,procedure change,all,598,1.0,0.0
create subcases content,procedure change,continuation,598,1.0,0.0
subcases completeness completed,request complete,all,596,1.0,78.84722828113348
subcases completeness completed,request complete,continuation,556,0.9328859060402684,0.10345673461231016
MER present,activities regular procedure,all,592,1.0,8.091485548048048
MER present,activities regular procedure,continuation,589,0.9949324324324325,0.0012568383323901151
send letter in progress,WAW permit aspect,all,590,1.0,0.2741224105461394
send letter in progress,WAW permit aspect,continuation,589,0.9983050847457627,0.0011846821354461424
register date environmental permit decision,phase decision taken,all,580,1.0,10.038552203065134
register date environmental permit decision,phase decision taken,continuation,360,0.6206896551724138,2.165983024691358
phase decision taken,enter senddate decision environmental permit,all,573,1.0,3.3850402365716503
phase decision taken,enter senddate decision environmental permit,continuation,494,0.8621291448516579,0.3024105937921728
suspend term,extend procedure term,all,567,1.0,7.677649911816578
suspend term,extend procedure term,continuation,556,0.9805996472663139,0.00294914068745004
receive additional information,enter receipt of additional data,all,555,1.0,10.623486486486486
receive additional information,enter receipt of additional data,continuation,537,0.9675675675675676,0.005168632319470308
registrer date of publishing received request,treat subcases completeness,all,553,1.0,98.16666767128793
registrer date of publishing received request,treat subcases completeness,continuation,483,0.8734177215189873,0.040113296526340006
term for supplying missing data,create letter requesting missing data,all,551,1.0,0.0
term for supplying missing data,create letter requesting missing data,continuation,551,1.0,0.0
phase application receptive,procedure change after completeness,all,551,1.0,2.5144963702359346
phase application receptive,procedure change after completeness,continuation,545,0.9891107078039928,0.14723700305810397
WAW permit aspect,applicant is stakeholder,all,550,1.0,4.461131818181818
WAW permit aspect,applicant is stakeholder,continuation,546,0.9927272727272727,0.012997557997557998
enter senddate decision environmental permit,generate publication document decision environmental permit,all,544,1.0,5.929646139705882
enter senddate decision environmental permit,generate publication document decision environmental permit,continuation,392,0.7205882352941176,1.8892538265306122
treat subcases completeness,procedure change,all,541,1.0,29.43263349763812
treat subcases completeness,procedure change,continuation,516,0.9537892791127541,0.2487381567614126
OLO messaging active,phase application received,all,541,1.0,6.315465187923597e-05
OLO messaging active,phase application received,continuation,541,1.0,6.315465187923597e-05
term for supplying missing data,retrieve missing data,all,538,1.0,40.35505008261049
term for supplying missing data,retrieve missing data,continuation,478,0.8884758364312267,0.9623111343561134
register objection and appeal periods,transcript decision environmental permit to stakeholders,all,536,1.0,1.2409587479270314
register objection and appeal periods,transcript decision environmental permit to stakeholders,continuation,524,0.9776119402985075,0.07955523748939779
terminate on request,calculate provisional charges,all,527,1.0,5.270925574530887e-06
terminate on request,calculate provisional charges,continuation,527,1.0,5.270925574530887e-06
phase decision sent,enter senddate decision environmental permit,all,525,1.0,2.2626312169312173
phase decision sent,enter senddate decision environmental permit,continuation,461,0.878095238095238,0.4357670523017595
completed subcases content,activities regular procedure,all,515,1.0,0.004449298813376483
completed subcases content,activities regular procedure,continuation,515,1.0,0.004449298813376483
procedure change,subcases completeness completed,all,513,1.0,0.0
procedure change,subcases completeness completed,continuation,513,1.0,0.0
register date environmental permit decision,enter senddate decision environmental permit,all,506,1.0,21.883196640316203
register date environmental permit decision,enter senddate decision environmental permit,continuation,354,0.6996047430830039,0.9819146264908977
phase decision taken,register objection and appeal periods,all,504,1.0,0.2879982363315697
phase decision taken,register objection and appeal periods,continuation,502,0.996031746031746,0.004447764497565294
set phase: phase permitting irrevocable,register deadline,all,501,1.0,24.260349301397206
set phase: phase permitting irrevocable,register deadline,continuation,486,0.9700598802395209,0.15650434385002288
regular procedure without MER,MER present,all,493,1.0,0.05199064683344602
regular procedure without MER,MER present,continuation,492,0.9979716024340771,0.0012245934959349595
activities regular procedure,article 34  WABO applies,all,492,1.0,0.0041598915989159895
activities regular procedure,article 34  WABO applies,continuation,492,1.0,0.0041598915989159895
activities regular procedure,phased application,all,491,1.0,0.06352511880515954
activities regular procedure,phased application,continuation,491,1.0,0.06352511880515954
terminate on request,extend procedure term,all,490,1.0,1.4742885487528345
terminate on request,extend procedure term,continuation,487,0.9938775510204082,0.004646360939995436
applicant is stakeholder,calculate provisional charges,all,489,1.0,6.596246875710065
applicant is stakeholder,calculate provisional charges,continuation,487,0.9959100204498977,0.0
publish,create subcases completeness,all,486,1.0,20.912672039323276
publish,create subcases completeness,continuation,463,0.9526748971193416,0.00010679145668346532
start WABOprocedure,create procedure confirmation,all,431,1.0,60.01807360144367
start WABOprocedure,create procedure confirmation,continuation,366,0.8491879350348028,0.5280639040680024
phase application received,start WABOprocedure,all,421,1.0,0.0
phase application received,start WABOprocedure,continuation,417,0.9904988123515439,0.0
OLO messaging active,applicant is stakeholder,all,420,1.0,3.76984126984127e-05
OLO messaging active,applicant is stakeholder,continuation,420,1.0,3.76984126984127e-05
registration date publication,treat subcases completeness,all,419,1.0,269.37512330946697
registration date publication,treat subcases completeness,continuation,233,0.5560859188544153,0.20192656175488796
register date environmental permit decision,generating decision environmental permit,all,419,1.0,8.744334394059932
register date environmental permit decision,generating decision environmental permit,continuation,266,0.6348448687350835,1.4428091060985797
creating environmental permit decision,decision date prior to decision,all,417,1.0,50.02628697042366
creating environmental permit decision,decision date prior to decision,continuation,380,0.9112709832134293,0.3249100877192982
treat subcases content,procedure change,all,401,1.0,17.644767941257967
treat subcases content,procedure change,continuation,373,0.9301745635910225,1.0458675901102175
WAW permit aspect,treat subcases completeness,all,402,1.0,33.019808595909346
WAW permit aspect,treat subcases completeness,continuation,379,0.9427860696517413,0.025350337144532394
generating decision environmental permit,register objection and appeal periods,all,401,1.0,34.14247159878083
generating decision environmental permit,register objection and appeal periods,continuation,271,0.6758104738154613,0.1376076260762608
generating decision environmental permit,transcript decision environmental permit to stakeholders,all,399,1.0,7.870984405458089
generating decision environmental permit,transcript decision environmental permit to stakeholders,continuation,358,0.8972431077694235,0.07467489137181874
activities regular procedure,regular procedure applies,all,393,1.0,0.012621571953633023
activities regular procedure,regular procedure applies,continuation,393,1.0,0.012621571953633023
creating environmental permit decision,register date environmental permit decision,all,390,1.0,94.58742022792023
creating environmental permit decision,register date environmental permit decision,continuation,146,0.37435897435897436,1.8514611872146118
retrieve missing data,enter senddate retrieve missing data,all,387,1.0,20.52328165374677
retrieve missing data,enter senddate retrieve missing data,continuation,268,0.6925064599483204,6.099035033167496
regular procedure without MER,enter senddate procedure confirmation,all,384,1.0,99.4545826099537
regular procedure without MER,enter senddate procedure confirmation,continuation,276,0.71875,0.360865539452496
completed subcases content,article 34  WABO applies,all,377,1.0,2.171396993810787
completed subcases content,article 34  WABO applies,continuation,374,0.9920424403183024,0.5858734402852049
regular procedure applies,request complete,all,377,1.0,1.8688115237253167
regular procedure applies,request complete,continuation,371,0.9840848806366048,0.0758048817011081
regular procedure applies,request complete,handover_idle,1,0.002652519893899204,95.22583333333334
submit decision,generating decision environmental permit,all,376,1.0,0.0
submit decision,generating decision environmental permit,continuation,376,1.0,0.0
send procedure confirmation,suspend term,all,365,1.0,9.471179604261796
send procedure confirmation,suspend term,continuation,353,0.9671232876712329,0.09468287692791941
send procedure confirmation,registrer date of publishing received request,all,365,1.0,38.418274733637745
send procedure confirmation,registrer date of publishing received request,continuation,305,0.8356164383561644,0.32572404371584696
start WABOprocedure,phase application received,all,364,1.0,0.0
start WABOprocedure,phase application received,continuation,360,0.989010989010989,0.0
start decision phase decision permitting sent,enter senddate decision environmental permit,all,360,1.0,9.5987862654321
start decision phase decision permitting sent,enter senddate decision environmental permit,continuation,321,0.8916666666666667,0.5266649359640013
treat subcases completeness,WAW permit aspect,all,356,1.0,2.6932451622971287
treat subcases completeness,WAW permit aspect,continuation,352,0.9887640449438202,0.010504261363636365
enter senddate decision environmental permit,register date environmental permit decision,all,355,1.0,0.6336126760563381
enter senddate decision environmental permit,register date environmental permit decision,continuation,338,0.952112676056338,0.24820759368836295
start WABOprocedure,send procedure confirmation,all,355,1.0,21.321995305164318
start WABOprocedure,send procedure confirmation,continuation,334,0.9408450704225352,0.02098719228210246
phase decision sent,create publication document,all,355,1.0,82.96995461658841
phase decision sent,create publication document,continuation,348,0.9802816901408451,0.010937899106002555
registrer date of publishing received request,enter senddate procedure confirmation,all,348,1.0,277.6547118454662
registrer date of publishing received request,enter senddate procedure confirmation,continuation,161,0.46264367816091956,17.18286922015183
enter senddate decision,phase decision sent,all,348,1.0,1.5738066730523625
enter senddate decision,phase decision sent,continuation,343,0.985632183908046,0.04016277939747327
enter senddate decision environmental permit,start decision phase decision permitting sent,all,345,1.0,2.8497165861513687
enter senddate decision environmental permit,start decision phase decision permitting sent,continuation,327,0.9478260869565217,0.6509870880054366
generating decision environmental permit,phase decision ready,all,344,1.0,2.3417312661498708e-05
generating decision environmental permit,phase decision ready,continuation,344,1.0,2.3417312661498708e-05
MER present in supplement,request complete,all,344,1.0,14.489223998708011
MER present in supplement,request complete,continuation,323,0.938953488372093,0.039226866185070514
retrieve missing data,phase asked additional information,all,335,1.0,6.640660033167496
retrieve missing data,phase asked additional information,continuation,318,0.9492537313432836,0.012039657582110412
enter senddate decision environmental permit,enter senddate decision environmental permit,all,333,1.0,10.306306306306306
enter senddate decision environmental permit,enter senddate decision environmental permit,continuation,252,0.7567567567567568,1.0340024250440918
terminate on request,phase application received,all,332,1.0,0.0
terminate on request,phase application received,continuation,332,1.0,0.0
no permit needed or only notification needed,applicant is stakeholder,all,331,1.0,0.014847264182611612
no permit needed or only notification needed,applicant is stakeholder,continuation,322,0.972809667673716,0.0013155624568668047
phase advice known,creating environmental permit decision,all,327,1.0,2.5484199796126402e-05
phase advice known,creating environmental permit decision,continuation,327,1.0,2.5484199796126402e-05
decision date prior to decision,set decision status,all,326,1.0,0.0
decision date prior to decision,set decision status,continuation,326,1.0,0.0
creating environmental permit decision,set decision status,all,322,1.0,2.603895790200138
creating environmental permit decision,set decision status,continuation,321,0.9968944099378882,0.00703097957770855
phase application receptive,WAW permit aspect,all,321,1.0,0.003232952578746971
phase application receptive,WAW permit aspect,continuation,321,1.0,0.003232952578746971
record date of decision environmental permit,phase decision taken,all,319,1.0,5.034789272030651
record date of decision environmental permit,phase decision taken,continuation,257,0.8056426332288401,1.0723281452658884
register submission date request,enter senddate procedure confirmation,all,318,1.0,151.6474388539483
register submission date request,enter senddate procedure confirmation,continuation,32,0.10062893081761007,51.69671875
register submission date request,enter senddate procedure confirmation,handover_idle,4,0.012578616352201259,150.0
transcript decision environmental permit to stakeholders,enter senddate decision,all,314,1.0,1.987073602264685
transcript decision environmental permit to stakeholders,enter senddate decision,continuation,291,0.9267515923566879,0.076577892325315
generating decision environmental permit,submit decision,all,315,1.0,5.175328924162257
generating decision environmental permit,submit decision,continuation,301,0.9555555555555556,0.4408361018826135
enter receipt of additional data,send confirmation receipt additional data,all,314,1.0,55.35668701344657
enter receipt of additional data,send confirmation receipt additional data,continuation,258,0.821656050955414,1.767518303186908
phase decision ready,generating decision environmental permit,all,313,1.0,0.0
phase decision ready,generating decision environmental permit,continuation,312,0.9968051118210862,0.0
start WABOprocedure,send confirmation receipt,all,309,1.0,0.0
start WABOprocedure,send confirmation receipt,continuation,307,0.9935275080906149,0.0
set decision phase decision permitting decided,record date of decision environmental permit,all,307,1.0,2.618279044516829
set decision phase decision permitting decided,record date of decision environmental permit,continuation,253,0.8241042345276873,0.8971848924022837
send confirmation receipt,start WABOprocedure,all,298,1.0,0.0
send confirmation receipt,start WABOprocedure,continuation,296,0.9932885906040269,0.0
creating cover letter decision,transcript decision environmental permit to stakeholders,all,298,1.0,3.501539895600298
creating cover letter decision,transcript decision environmental permit to stakeholders,continuation,295,0.9899328859060402,0.04821092278719398
set phase: phase permitting irrevocable,close case,all,298,1.0,48.31440063385533
set phase: phase permitting irrevocable,close case,continuation,286,0.959731543624161,0.0049611499611499615
creating environmental permit decision,phase advice known,all,295,1.0,0.0
creating environmental permit decision,phase advice known,continuation,295,1.0,0.0
enter senddate acknowledgement,regular procedure without MER,all,292,1.0,305.57575722983256
enter senddate acknowledgement,regular procedure without MER,continuation,65,0.2226027397260274,1.8840940170940172
start WABOprocedure,enter senddate procedure confirmation,all,289,1.0,15.393092079969241
start WABOprocedure,enter senddate procedure confirmation,continuation,190,0.657439446366782,1.4455994152046783
enter senddate decision environmental permit,enter date publication decision environmental permit,all,289,1.0,125.55877547097269
enter senddate decision environmental permit,enter date publication decision environmental permit,continuation,66,0.22837370242214533,17.526574074074073
phase decision irrevocable,read publication date field,all,287,1.0,1.6453735965931088e-05
phase decision irrevocable,read publication date field,continuation,287,1.0,1.6453735965931088e-05
extend procedure term,treat subcases completeness,all,283,1.0,8.338304868472713
extend procedure term,treat subcases completeness,continuation,278,0.9823321554770318,1.3191247002398079
subcases completeness completed,WAW permit aspect,all,282,1.0,3.4838416075650116
subcases completeness completed,WAW permit aspect,continuation,279,0.9893617021276596,0.006275388291517323
set decision phase decision permitting decided,enter senddate decision environmental permit,all,282,1.0,11.01503841607565
set decision phase decision permitting decided,enter senddate decision environmental permit,continuation,234,0.8297872340425532,0.9757692307692308
enter senddate acknowledgement,procedure change,all,278,1.0,616.1520913269385
enter senddate acknowledgement,procedure change,continuation,6,0.02158273381294964,59.678888888888885
read publication date field,phase decision irrevocable,all,270,1.0,0.0
read publication date field,phase decision irrevocable,continuation,270,1.0,0.0
register deadline,close case,all,270,1.0,123.38122530864197
register deadline,close case,continuation,255,0.9444444444444444,0.04525381263616558
applicant is stakeholder,forward to the competent authority,all,269,1.0,2.7769310202395703
applicant is stakeholder,forward to the competent authority,continuation,261,0.9702602230483272,0.00013409961685823755
assessment of content completed,completed subcases content,all,268,1.0,0.0
assessment of content completed,completed subcases content,continuation,268,1.0,0.0
phase decision sent,enter senddate decision,all,266,1.0,0.5649185463659149
phase decision sent,enter senddate decision,continuation,257,0.9661654135338346,0.1349654128837008
set decision phase decision permitting decided,start decision phase decision permitting sent,all,263,1.0,3.923954372623574
set decision phase decision permitting decided,start decision phase decision permitting sent,continuation,240,0.9125475285171103,0.6
submit decision,phase decision ready,all,264,1.0,2.5252525252525253e-05
submit decision,phase decision ready,continuation,264,1.0,2.5252525252525253e-05
send confirmation receipt,no permit needed or only notification needed,all,263,1.0,35.22377587663709
send confirmation receipt,no permit needed or only notification needed,continuation,220,0.8365019011406845,0.007164141414141414
enter senddate decision environmental permit,objection lodged against decision,all,263,1.0,1838.8869328263625
enter senddate decision environmental permit,objection lodged against decision,continuation,7,0.026615969581749048,0.010079365079365079
enter senddate decision environmental permit,objection lodged against decision,handover_idle,1,0.0038022813688212928,7680.0
enter senddate acknowledgement,enter senddate procedure confirmation,all,263,1.0,159.74405154203632
enter senddate acknowledgement,enter senddate procedure confirmation,continuation,129,0.49049429657794674,4.6800710594315245
send procedure confirmation,treat subcases completeness,all,262,1.0,19.943728795589482
send procedure confirmation,treat subcases completeness,continuation,243,0.9274809160305344,0.0871787837219936
phase application received,regular procedure without MER,all,258,1.0,30.337363264427218
phase application received,regular procedure without MER,continuation,236,0.9147286821705426,0.12879354990583802
subcases completeness completed,activities regular procedure,all,259,1.0,0.03956670956670957
subcases completeness completed,activities regular procedure,continuation,259,1.0,0.03956670956670957
phase advice known,completed subcases content,all,254,1.0,0.0
phase advice known,completed subcases content,continuation,254,1.0,0.0
generating decision environmental permit,enter senddate decision environmental permit,all,253,1.0,64.33158651734739
generating decision environmental permit,enter senddate decision environmental permit,continuation,105,0.4150197628458498,0.291026455026455
start decision phase decision permitting sent,set decision phase decision permitting decided,all,253,1.0,0.0
start decision phase decision permitting sent,set decision phase decision permitting decided,continuation,240,0.9486166007905138,0.0
enter senddate retrieve missing data,receive additional information,all,253,1.0,846.5040415019763
